service_date,route_short,gated_entries
2020-04-30,Blue,6449.8
2020-04-30,Green,4181.59
2020-04-30,Orange,12848.36
2020-04-30,Red,13980.05
2020-05-01,Blue,6534.1
2020-05-01,Green,4472.8
2020-05-01,Orange,13480.11
2020-05-01,Red,14914.89
2020-05-02,Blue,5067.1
2020-05-02,Green,3427.3
2020-05-02,Orange,9371.92
2020-05-02,Red,10755.28
2020-05-03,Blue,4317.0
2020-05-03,Green,2683.37
2020-05-03,Orange,7380.37
2020-05-03,Red,8811.36
2020-05-04,Blue,7223.6
2020-05-04,Green,4543.45
2020-05-04,Orange,13980.66
2020-05-04,Red,15859.69
2020-05-05,Blue,7478.2
2020-05-05,Green,4561.28
2020-05-05,Orange,14274.83
2020-05-05,Red,16101.29
2020-05-06,Blue,7314.6
2020-05-06,Green,4486.19
2020-05-06,Orange,13719.1
2020-05-06,Red,15513.81
2020-05-07,Blue,7472.7
2020-05-07,Green,4506.43
2020-05-07,Orange,13972.07
2020-05-07,Red,15818.0
2020-05-08,Blue,7679.1
2020-05-08,Green,4892.36
2020-05-08,Orange,14558.04
2020-05-08,Red,16190.9
2020-05-09,Blue,4812.4
2020-05-09,Green,3401.64
2020-05-09,Orange,9115.98
2020-05-09,Red,10101.98
2020-05-10,Blue,4124.8
2020-05-10,Green,2570.39
2020-05-10,Orange,7367.87
2020-05-10,Red,8609.24
2020-05-11,Blue,6938.7
2020-05-11,Green,4433.5199999999995
2020-05-11,Orange,13521.36
2020-05-11,Red,15176.02
2020-05-12,Blue,7835.3
2020-05-12,Green,4662.79
2020-05-12,Orange,14229.69
2020-05-12,Red,16365.72
2020-05-13,Blue,7836.4
2020-05-13,Green,4788.31
2020-05-13,Orange,14578.64
2020-05-13,Red,16589.05
2020-05-14,Blue,8246.2
2020-05-14,Green,4899.4
2020-05-14,Orange,15010.86
2020-05-14,Red,16781.24
2020-05-15,Blue,8418.4
2020-05-15,Green,5127.3
2020-05-15,Orange,14843.73
2020-05-15,Red,16756.87
2020-05-16,Blue,6053.1
2020-05-16,Green,3747.1
2020-05-16,Orange,10410.04
2020-05-16,Red,11104.96
2020-05-17,Blue,4719.3
2020-05-17,Green,2808.04
2020-05-17,Orange,7599.07
2020-05-17,Red,9171.79
2020-05-18,Blue,650.9
2020-05-18,Green,6496.14
2020-05-18,Orange,14949.17
2020-05-18,Red,17043.59
2020-05-19,Blue,561.3
2020-05-19,Green,6694.8099999999995
2020-05-19,Orange,15527.8
2020-05-19,Red,17563.99
2020-05-20,Blue,417.7
2020-05-20,Green,7001.03
2020-05-20,Orange,16269.32
2020-05-20,Red,17354.25
2020-05-21,Blue,372.5
2020-05-21,Green,6926.48
2020-05-21,Orange,16003.91
2020-05-21,Red,17889.51
2020-05-22,Blue,468.9
