service_date,route_short,station_name,gated_entries
2020-01-04,Blue,State Street,378.5
2020-01-04,Blue,Suffolk Downs,366.0
2020-01-04,Blue,Wonderland,3041.0
2020-01-04,Blue,Wood Island,1168.0
2020-01-04,Green,Arlington,2531.0
2020-01-04,Green,Boylston,3130.0
2020-01-04,Green,Copley,6507.0
2020-01-04,Green,Government Center,2086.2
2020-01-04,Green,Haymarket,3318.77
2020-01-04,Green,Hynes Convention Center,4114.0
2020-01-04,Green,Kenmore,3287.0
2020-01-04,Green,Lechmere,2941.0
2020-01-04,Green,North Station,2703.0
2020-01-04,Green,Park Street,3911.52
2020-01-04,Green,Prudential,2303.0
2020-01-04,Green,Riverside,634.0
2020-01-04,Green,Science Park,808.0
2020-01-04,Green,Symphony,1040.0
2020-01-04,Orange,Assembly,2603.0
2020-01-04,Orange,Back Bay,5733.0
2020-01-04,Orange,Chinatown,3243.0
2020-01-04,Orange,Community College,1081.0
2020-01-04,Orange,Downtown Crossing,4560.92
2020-01-04,Orange,Forest Hills,5040.0
2020-01-04,Orange,Green Street,1074.0
2020-01-04,Orange,Haymarket,3454.23
2020-01-04,Orange,Jackson Square,2327.0
2020-01-04,Orange,Malden Center,4513.0
2020-01-04,Orange,Massachusetts Avenue,2336.0
2020-01-04,Orange,North Station,5247.0
2020-01-04,Orange,Oak Grove,2301.0
2020-01-04,Orange,Roxbury Crossing,1548.0
2020-01-04,Orange,Ruggles,2938.0
2020-01-04,Orange,State Street,3406.5
2020-01-04,Orange,Stony Brook,1506.0
2020-01-04,Orange,Sullivan Square,3878.0
2020-01-04,Orange,Tufts Medical Center,2258.0
2020-01-04,Orange,Wellington,3201.0
2020-01-04,Red,Alewife,3542.0
2020-01-04,Red,Andrew,2485.0
2020-01-04,Red,Ashmont,3456.0
2020-01-04,Red,Braintree,1665.0
2020-01-04,Red,Broadway,2355.0
2020-01-04,Red,Central,7192.0
2020-01-04,Red,Charles/MGH,2770.0
2020-01-04,Red,Davis,4033.0
